a_age,a_maritl,a_sex,a_fnlwgt,fmstm1900,fmagem,yofm,fbm1900,yofb,fb_girl,fmendm1900,yofd,fmdiv,fmdivsep,fmwid,pesa1,cpsyear,iid,bdm1900,yob,black,orace,cdiv,coll,hs
30,5,2,229654,986,267,82,990,82,1,1050,87,1,1,0,1,1990,90020088,719,59,0,0,3,0,1
35,1,2,363712,957,298,79,949,79,1,1086,90,0,0,0,3,1990,90020088,659,54,0,0,3,0,1
30,1,2,251279,1062,337,88,,,,1086,90,0,0,0,0,1990,90020088,725,60,0,0,3,1,0
45,1,2,210563,760,226,63,770,64,1,1086,90,0,0,0,2,1990,90020096,534,44,0,0,3,0,1
51,1,2,211926,680,212,56,697,58,1,1086,90,0,0,0,4,1990,90020096,468,38,0,0,3,0,0
52,1,2,229083,750,297,62,787,65,0,1086,90,0,0,0,1,1990,90020096,453,37,0,0,3,1,0
56,1,2,241307,609,196,50,615,51,0,1086,90,0,0,0,2,1990,90020096,413,34,0,0,3,0,1
38,1,2,216504,864,236,71,879,73,1,875,72,1,1,0,8,1990,90020096,628,52,0,0,3,0,1
57,4,2,216271,667,270,55,702,58,0,682,56,1,1,0,5,1990,90020096,397,33,0,0,3,0,1
50,1,2,203113,699,225,58,716,59,0,1086,90,0,0,0,2,1990,90020096,474,39,0,0,3,0,1
54,1,2,272611,650,221,54,668,55,0,1086,90,0,0,0,5,1990,90020096,429,35,0,0,3,0,1
39,1,2,241766,936,329,77,974,81,1,1086,90,0,0,0,1,1990,90020096,607,50,0,0,3,0,1
31,1,2,236647,1005,295,83,1005,83,0,1086,90,0,0,0,1,1990,90020104,710,59,0,0,3,0,1
58,1,2,241307,627,239,52,653,54,0,1086,90,0,0,0,2,1990,90020104,388,32,0,0,3,0,0
36,1,2,258050,924,274,76,1061,88,0,962,80,1,1,0,1,1990,90020104,650,54,0,0,3,0,1
34,1,2,229974,957,280,79,967,80,0,1086,90,0,0,0,1,1990,90020104,677,56,0,0,3,0,1
22,1,2,234576,1056,238,87,,,,1086,90,0,0,0,0,1990,90020104,818,68,0,0,3,0,1
44,5,2,241486,808,250,67,845,70,1,984,81,1,1,0,1,1990,90020104,558,46,0,0,3,0,1
39,1,2,258016,1076,463,89,897,74,0,1086,90,0,0,0,1,1990,90020104,613,51,0,0,3,0,1
37,1,2,348586,921,290,76,928,77,1,1086,90,0,0,0,3,1990,90020112,631,52,0,0,3,0,1
59,4,2,251829,605,235,50,599,49,1,970,80,0,0,1,4,1990,90020112,370,30,0,0,3,0,1
22,1,2,234576,1075,261,89,,,,1086,90,0,0,0,0,1990,90020112,814,67,0,0,3,1,0
40,1,2,194908,845,246,70,888,73,0,1086,90,0,0,0,4,1990,90020112,599,49,0,0,3,0,1
34,1,2,322984,899,232,74,1028,85,0,1086,90,0,0,0,1,1990,90020112,667,55,0,0,3,1,0
45,5,2,201806,828,284,68,,,,894,74,1,1,0,0,1990,90020112,544,45,0,0,3,0,1
51,1,2,208539,738,265,61,761,63,0,982,81,1,1,0,2,1990,90020112,473,39,0,0,3,1,0
48,1,2,233857,761,260,63,767,63,0,1086,90,0,0,0,3,1990,90020112,501,41,0,0,3,1,0
32,1,2,273797,923,233,76,937,78,0,1086,90,0,0,0,2,1990,90020112,690,57,0,0,3,0,1
38,1,2,269350,858,239,71,893,74,1,1086,90,0,0,0,3,1990,90020120,619,51,0,0,3,1,0
52,1,2,219472,664,203,55,680,56,0,1086,90,0,0,0,6,1990,90020120,461,38,0,0,3,0,1
60,1,2,332142,606,243,50,642,53,0,1086,90,0,0,0,1,1990,90020120,363,30,0,0,3,0,0
44,5,2,194908,788,238,65,821,68,0,841,70,1,1,0,1,1990,90020120,550,45,0,0,3,0,1
48,1,2,265905,698,196,58,716,59,1,1086,90,0,0,0,6,1990,90020120,502,41,0,0,3,0,0
38,1,2,207421,846,222,70,858,71,0,1086,90,0,0,0,1,1990,90020120,624,51,0,0,3,0,1
21,1,2,226369,1086,252,90,,,,1086,90,0,0,0,0,1990,90020120,834,69,0,0,3,0,0
56,1,2,207198,723,313,60,740,61,1,1086,90,0,0,0,2,1990,90020128,410,34,0,0,3,0,1
44,5,2,194908,896,345,74,,,,990,82,1,1,0,0,1990,90020128,551,45,0,0,3,0,1
51,1,2,315301,694,231,57,703,58,0,1086,90,0,0,0,3,1990,90020128,463,38,0,0,3,0,1
35,1,2,231624,868,209,72,873,72,0,906,75,1,1,0,1,1990,90020128,659,54,0,0,3,0,1
64,1,2,316081,613,305,51,630,52,0,1086,90,0,0,0,2,1990,90020128,308,25,0,0,3,0,1
43,5,2,312424,810,248,67,817,68,0,840,69,1,1,0,2,1990,90020128,562,46,1,0,3,1,0
34,1,2,337444,936,260,77,,,,1086,90,0,0,0,0,1990,90020128,676,56,1,0,3,0,0
